"Date","Price","Open","High","Low","Vol.","Change %"
"May 11, 2016","1,909.05","1,890.09","1,916.34","1,885.67","-","1.26%"
"May 10, 2016","1,885.34","1,896.02","1,909.97","1,874.50","-","-0.85%"
"May 06, 2016","1,901.56","1,905.15","1,906.34","1,889.96","-","-0.26%"
"May 05, 2016","1,906.48","1,924.28","1,924.28","1,902.66","-","-0.99%"
"May 04, 2016","1,925.58","1,932.92","1,957.18","1,901.85","-","-1.41%"
"Apr 29, 2016","1,953.05","1,970.46","1,974.42","1,941.25","-","-0.85%"
"Apr 28, 2016","1,969.89","1,936.05","1,969.89","1,925.27","-","1.82%"
"Apr 27, 2016","1,934.77","1,951.51","1,954.93","1,921.58","-","-0.61%"
"Apr 26, 2016","1,946.55","1,953.86","1,956.54","1,931.08","-","-0.46%"
"Apr 25, 2016","1,955.47","1,962.67","1,963.96","1,944.94","-","-0.60%"
"Apr 22, 2016","1,967.26","1,952.33","1,967.26","1,936.72","-","0.88%"
"Apr 21, 2016","1,950.08","1,971.75","1,976.69","1,931.66","-","-0.52%"
"Apr 20, 2016","1,960.18","1,923.94","1,961.60","1,922.41","-","1.56%"
"Apr 19, 2016","1,930.14","1,895.28","1,930.23","1,892.96","-","1.98%"
"Apr 18, 2016","1,892.64","1,888.97","1,896.36","1,867.61","-","-0.79%"
"Apr 15, 2016","1,907.78","1,914.19","1,918.35","1,899.29","-","-0.42%"
"Apr 14, 2016","1,915.85","1,929.87","1,948.84","1,902.64","-","-0.88%"
"Apr 13, 2016","1,932.80","1,903.47","1,944.32","1,903.47","-","1.77%"
"Apr 12, 2016","1,899.26","1,907.56","1,910.59","1,889.02","-","-0.40%"
"Apr 11, 2016","1,906.90","1,875.74","1,907.50","1,872.50","-","1.58%"
"Apr 08, 2016","1,877.27","1,860.93","1,879.64","1,857.44","-","0.99%"
"Apr 07, 2016","1,858.85","1,865.97","1,872.51","1,848.19","-","-0.07%"
"Apr 06, 2016","1,860.17","1,863.30","1,867.96","1,850.83","-","0.17%"
"Apr 05, 2016","1,857.09","1,859.51","1,861.39","1,847.62","-","-0.51%"
"Apr 04, 2016","1,866.64","1,854.37","1,876.08","1,853.54","-","0.53%"
"Apr 01, 2016","1,856.77","1,860.53","1,861.49","1,833.61","-","-0.77%"
"Mar 31, 2016","1,871.15","1,865.10","1,876.55","1,851.35","-","0.16%"
"Mar 30, 2016","1,868.10","1,853.35","1,876.32","1,847.78","-","1.24%"
"Mar 29, 2016","1,845.20","1,849.11","1,850.93","1,825.99","-","-0.22%"
"Mar 28, 2016","1,849.31","1,871.93","1,879.47","1,844.73","-","-0.91%"
"Mar 25, 2016","1,866.23","1,869.60","1,879.79","1,865.37","-","-0.02%"
"Mar 24, 2016","1,866.67","1,872.88","1,875.27","1,857.27","-","-0.70%"
"Mar 23, 2016","1,879.89","1,900.09","1,906.38","1,869.32","-","-1.24%"
"Mar 22, 2016","1,903.47","1,905.76","1,916.27","1,888.59","-","-0.05%"
"Mar 21, 2016","1,904.50","1,905.96","1,906.34","1,886.76","-","-0.50%"
"Mar 18, 2016","1,914.02","1,892.81","1,923.50","1,885.15","-","1.23%"
"Mar 17, 2016","1,890.79","1,876.61","1,900.12","1,874.39","-","1.05%"
"Mar 16, 2016","1,871.20","1,858.01","1,871.20","1,852.92","-","0.87%"
"Mar 15, 2016","1,855.06","1,871.79","1,879.00","1,851.49","-","-0.55%"
"Mar 14, 2016","1,865.31","1,877.23","1,880.41","1,857.19","-","-0.60%"
"Mar 11, 2016","1,876.54","1,886.85","1,888.77","1,868.22","-","-0.43%"
"Mar 10, 2016","1,884.63","1,885.97","1,896.06","1,875.62","-","0.09%"
"Mar 09, 2016","1,883.00","1,899.19","1,906.99","1,875.51","-","-1.39%"
