"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2004","1,243.58","1,232.46","1,250.26","1,232.46","-","0.92%"
"Sep 29, 2004","1,232.22","1,225.66","1,240.79","1,221.87","-","0.58%"
"Sep 28, 2004","1,225.09","1,176.05","1,227.53","1,176.05","-","4.17%"
"Sep 27, 2004","1,176.01","1,166.33","1,179.98","1,164.64","-","0.83%"
"Sep 24, 2004","1,166.31","1,155.16","1,168.01","1,148.76","-","0.93%"
"Sep 23, 2004","1,155.59","1,157.65","1,161.87","1,150.86","-","-0.15%"
"Sep 22, 2004","1,157.29","1,160.69","1,170.30","1,152.15","-","-0.27%"
"Sep 21, 2004","1,160.44","1,154.53","1,163.59","1,154.53","-","0.50%"
"Sep 20, 2004","1,154.66","1,154.17","1,161.77","1,151.28","-","0.07%"
"Sep 17, 2004","1,153.83","1,142.20","1,155.36","1,140.51","-","1.02%"
"Sep 16, 2004","1,142.15","1,159.04","1,170.59","1,141.00","-","-1.45%"
"Sep 15, 2004","1,158.90","1,160.91","1,162.93","1,150.28","-","-0.16%"
"Sep 14, 2004","1,160.77","1,139.28","1,167.74","1,132.18","-","1.87%"
"Sep 13, 2004","1,139.45","1,146.14","1,150.74","1,136.54","-","-0.57%"
"Sep 10, 2004","1,145.93","1,143.03","1,156.90","1,139.13","-","0.25%"
"Sep 09, 2004","1,143.03","1,137.04","1,146.84","1,135.22","-","0.51%"
"Sep 08, 2004","1,137.25","1,138.93","1,148.64","1,131.60","-","-0.12%"
"Sep 07, 2004","1,138.64","1,141.91","1,148.32","1,134.62","-","-0.28%"
"Sep 06, 2004","1,141.83","1,130.39","1,142.90","1,119.53","-","1.04%"
"Sep 03, 2004","1,130.09","1,115.13","1,133.74","1,109.75","-","1.37%"
"Sep 02, 2004","1,114.84","1,116.35","1,130.55","1,105.83","-","-0.14%"
"Sep 01, 2004","1,116.44","1,114.44","1,123.15","1,098.61","-","0.10%"
"Aug 31, 2004","1,115.32","1,081.93","1,117.95","1,079.49","-","3.09%"
"Aug 30, 2004","1,081.90","1,072.34","1,083.15","1,064.93","-","0.93%"
"Aug 27, 2004","1,071.88","1,053.72","1,074.16","1,049.28","-","1.74%"
"Aug 26, 2004","1,053.52","1,054.50","1,063.48","1,044.38","-","-0.03%"
"Aug 25, 2004","1,053.82","1,037.53","1,056.23","1,026.25","-","1.50%"
"Aug 24, 2004","1,038.20","1,032.84","1,046.29","1,029.92","-","0.52%"
"Aug 23, 2004","1,032.84","1,022.44","1,035.97","1,004.97","-","0.98%"
"Aug 20, 2004","1,022.82","1,016.37","1,027.52","1,010.89","-","0.67%"
"Aug 19, 2004","1,016.05","989.14","1,017.80","987.80","-","2.63%"
"Aug 18, 2004","989.97","1,013.10","1,024.62","985.44","-","-2.28%"
"Aug 17, 2004","1,013.10","1,013.44","1,023.20","1,008.73","-","0.02%"
"Aug 16, 2004","1,012.94","1,000.53","1,016.15","990.23","-","1.24%"
"Aug 13, 2004","1,000.53","974.69","1,004.25","972.44","-","2.65%"
"Aug 12, 2004","974.69","951.16","979.03","951.16","-","2.46%"
"Aug 11, 2004","951.32","987.73","993.40","950.12","-","-3.64%"
"Aug 10, 2004","987.30","997.84","997.84","972.43","-","-1.24%"
"Aug 09, 2004","999.73","979.19","1,012.93","979.19","-","2.32%"
"Aug 06, 2004","977.03","986.55","986.55","952.25","-","-1.01%"
"Aug 05, 2004","986.98","1,000.10","1,026.99","986.66","-","-1.19%"
"Aug 04, 2004","998.89","996.65","1,006.27","982.21","-","0.11%"
"Aug 03, 2004","997.79","1,001.77","1,001.77","980.22","-","-0.44%"
"Aug 02, 2004","1,002.20","1,001.16","1,013.54","985.56","-","0.13%"
"Jul 30, 2004","1,000.87","955.16","1,002.68","955.12","-","4.90%"
"Jul 29, 2004","954.14","917.15","959.23","917.15","-","4.20%"
"Jul 28, 2004","915.71","981.26","991.97","911.80","-","-6.64%"
"Jul 27, 2004","980.83","997.25","1,005.28","973.50","-","-1.65%"
"Jul 26, 2004","997.24","1,027.01","1,044.89","992.58","-","-2.90%"
"Jul 23, 2004","1,027.01","1,019.10","1,041.33","1,019.10","-","0.87%"
"Jul 22, 2004","1,018.19","1,050.69","1,050.69","1,008.97","-","-3.13%"
"Jul 21, 2004","1,051.07","1,068.52","1,082.65","1,047.69","-","-1.63%"
"Jul 20, 2004","1,068.52","1,117.89","1,132.79","1,067.13","-","-4.43%"
"Jul 19, 2004","1,118.05","1,097.01","1,121.14","1,094.56","-","1.92%"
"Jul 16, 2004","1,097.00","1,103.88","1,104.32","1,087.37","-","-0.61%"
"Jul 15, 2004","1,103.71","1,091.21","1,105.84","1,088.17","-","1.14%"
"Jul 14, 2004","1,091.26","1,096.97","1,110.01","1,079.83","-","-0.44%"
"Jul 13, 2004","1,096.09","1,074.68","1,100.03","1,071.85","-","2.05%"
"Jul 12, 2004","1,074.06","1,051.38","1,074.15","1,051.28","-","2.23%"
"Jul 09, 2004","1,050.66","1,057.78","1,061.55","1,042.60","-","-0.68%"
"Jul 08, 2004","1,057.86","1,064.54","1,071.16","1,051.22","-","-0.60%"
"Jul 07, 2004","1,064.25","1,051.41","1,077.81","1,044.70","-","1.38%"
"Jul 06, 2004","1,049.81","1,053.71","1,095.41","1,029.34","-","-0.41%"
"Jul 05, 2004","1,054.10","1,046.78","1,054.51","1,008.71","-","0.45%"
"Jul 02, 2004","1,049.37","1,052.70","1,052.70","1,012.54","-","-0.46%"
"Jul 01, 2004","1,054.17","1,094.96","1,125.23","1,044.94","-","-3.65%"
"Jun 30, 2004","1,094.14","1,073.90","1,100.17","1,073.59","-","1.89%"
"Jun 29, 2004","1,073.82","1,082.95","1,088.26","1,062.54","-","-0.90%"
"Jun 28, 2004","1,083.59","1,104.95","1,109.05","1,074.49","-","-1.95%"
